,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,Sedona Reign,https://www.pornhub.com/pornstar/sedona-reign,4949,9,6500000,https://ei.phncdn.com/(m=bLqDuhKlbyaT)(mh=N2Qrr8qIwCTHPU0S)7cfb61a3-bfa8-47bc-965c-f15f59cb6b58.jpg,True,False,,"['Perv Nana', 'FreeUse Milf', 'Mom Swap']",NA,"{'Relationship status': 'Single', 'City and Country': 'Seattle/Los Angeles, US', 'Pornstar Profile Views': '39,639', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Measurements': '--', 'Profile Views': '126,462', 'Videos Watched': '1'}",5465.0,4949.0,[4850],4146.0,2000
1,Joe Di Marco,https://www.pornhub.com/pornstar/joe-di-marco,4950,1,1600000,https://ei.phncdn.com/(m=bLqDuhKlbyaT)(mh=_-tDXxL5SisVSbRm)9bef5597-7604-41dc-aea4-e9d7963cbad1.jpg,True,False,"About Joe Di Marco

                                    Hello, I'm Joe Di Marco, I'm a performer and content creator. Follow me everywhere!",NA,"{'Official Site': 'https://link.me/joedimarcoreal', 'Twitter': 'https://www.twitter.com/joedimarcoreal', 'Amazon Wishlist': 'https://www.amazon.it/hz/wishlist/ls/2EY6KFP9JI25K?ref_=wl_share', 'Instagram': 'https://instagram.com/joedimarcoreal?igshid=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr'}","{'Relationship status': 'Single', 'Interested in': 'Girls', 'Pornstar Profile Views': '544,202', 'Career Status': 'Active', 'Career Start and End': '2019                        to                        Present', 'Gender': 'Male', 'Measurements': '--', 'Ethnicity': 'Latin', 'Profile Views': '547,552', 'Videos Watched': '234'}",5816.0,4950.0,[4950],5077.0,2700
2,Kat Aluna,https://www.pornhub.com/pornstar/kat-aluna,4951,6,4900000,https://ei.phncdn.com/(m=bLqDuhKlbyaT)(mh=Y-2xYuuOQ2HIFXZS)74bc23f1-77e7-4441-ae05-080719e5f801.jpg,True,False,"About Kat Aluna

                                    Bienvenue sur ma nouvelle Chaîne Pornhub ici toutes mes vidéos sont entières et gratuites  ! 
Abonne toi si tu veux me suivre. Bise Kat",['CAM4'],"{'Official Site': 'https://www.kat-aluna.fr', 'Twitter': 'https://www.twitter.com/katalunaoff', 'Amazon Wishlist': 'https://www.amazon.fr/hz/wishlist/ls/3O77CHL08IPTU?ref_=wl_share', 'Snapchat': 'https://www.snapchat.com/add/katalunasnap', 'Instagram': 'https://www.instagram.com/katalunaoff'}","{'Relationship status': 'Open', 'Interested in': 'Guys and Girls', 'City and Country': 'france, FR', 'Pornstar Profile Views': '844,936', 'Career Status': 'Active', 'Career Start and End': '2005                        to                        Present', 'Gender': 'Female', 'Measurements': 'E--38', 'Height': '5 ft 5 in (165 cm)', 'Ethnicity': 'Latin', 'Hair Color': 'Brunette', 'Fake Boobs': 'Yes', 'Tattoos': 'Yes', 'Piercings': 'Yes', 'Interests and hobbies': 'Game, Musique, Danse, Sport', 'Profile Views': '1,019,664', 'Videos Watched': '341'}",5028.0,4951.0,[4974],4183.0,18500
3,GIGI ROUGE,https://www.pornhub.com/pornstar/gigi-rouge,4953,58,1100000,https://ei.phncdn.com/(m=bLqDuhKlbyaT)(mh=69IbnYMlTOgCpC5X)ff45f00c-fdda-44f5-901a-8f7a876e5b8f.jpg,True,False,"About GIGI ROUGE

                                    Find full vids and chat to me on onlyfans.com/gigirouge! 
THEGIGIROUGE.COM for lots more!","['British Teens', 'Brit Studio', 'Dane Jones']","{'Twitter': 'https://www.twitter.com/Littlegigi79', 'Snapchat': 'https://www.snapchat.com/add/Littlegigi79', 'Instagram': 'https://www.instagram.com/Gigirouge_x'}","{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'Pornstar Profile Views': '129,402', 'Career Status': 'Active', 'Career Start and End': '2017                        to                        Present', 'Gender': 'Female', 'Measurements': '--', 'Height': '5 ft 7 in (170 cm)', 'Weight': '110 lbs (50 kg)', 'Ethnicity': 'White', 'Background': 'British', 'Hair Color': 'Red', 'Eye Color': 'Brown', 'Fake Boobs': 'No', 'Tattoos': 'Yes', 'Piercings': 'Yes', 'Profile Views': '227,293', 'Videos Watched': '165'}",4970.0,4953.0,[5004],4802.0,7600
4,Ivy Sherwood,https://www.pornhub.com/pornstar/ivy-sherwood,4967,49,18000000,https://ei.phncdn.com/pics/users/u/001/740/186/731/avatar1589394803/(m=eQJ6GCjadOf)(mh=VntEvkFSj4puP1QT)200x200.jpg,True,False,"Ivy Sherwood is a professional wrestler and pornstar. Shes known for working in Double Trouble Wrestling, as well as her many exceptional porn performances onscreen. Her fit athletic body, stunning beauty and immense talent are perfect for both. > The African-American babe was born in the USA in 1992. At the age of 25, Ivy decided to enter the porn industry. She has performed in well over 20 movies from prominent companies. She stands at 5'2"" tall and has black and brown hair. Sherwood is a petite actress, weighing 110 pounds. Her tits and perfect nipples lend to full measurements of 34B-24-34. Both of her feet have tattoos of text on them, and her navel is pierced. > Barely Legal 154 (2016), from Hustler Video, features Ivy Sherwood on the cover and includes other stunning young Black women. After Ivy brings female pornstar Sadie Santana a cupcake to celebrate, she gives a great gift: sex. Ivy kisses Sadie and gets her all warmed up before they break out the toys. After fingering and licking her sweet pussy, Ivy gets in position; they rub their pussies together in the scissors position. It's such a turn-on to watch and works very well for them as they both get off hard. > In another movie, Lesbian Beauties 11: All Black Beauties from Mile High, an all-girl ethnic release from Mile High Productions, the studio brings together eight Black beauties who show just how incredible Black lesbian lust is. When the old-fashioned sorority sister Misty finds out sorority girl Ivy is a stripper, they end up solving the problem in one of the best ways possible: mutual orgasms. > Ivys slim body and stunning looks keep fans ready for more. She has filmed within many different genres, including: interracial, bondage, group sex, and blowjobs, among many others. With such a variety, theres plenty of her to enjoy on Pornhub.","['ErotiqueTVLive', 'Porncentro', 'ATK Exotics']",NA,"{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Los Angeles, US', 'Pornstar Profile Views': '1,201,897', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Female', 'Measurements': '--', 'Profile Views': '332,989', 'Videos Watched': '6'}",5019.0,4967.0,[4897],4330.0,18000
5,Keni Styles,https://www.pornhub.com/pornstar/keni-styles,4974,233,45000000,https://ei.phncdn.com/pics/users/000/900/592/avatar1575910003/(m=eQJ6GCjadOf)(mh=0fn9QRpmgfetO_T1)200x200.jpg,True,False,"One of the first straight Asian male pornstars in American pornography is a trailblazer. And even though we’re here to talk about his fiery fuck career, you’ve gotta hear about this guy’s background because this bro is the real deal. A Thai native who grew up in London, he spent his early years in foster homes around London. As a young man, he took up boxing and entered the British Army. He served in combat in Northern Ireland, Bosnia, Kosovo and Iraq while still honing his boxing skills, winning national and international titles. When he left the military, Keni worked as a boxer and a physical trainer, when one day a client of his introduced him to swinging. The sexy lifestyle appealed to him, and as he got deeper into the swinger’s scene, his girlfriend suggested they perform in a live sex show. That went so well that it led to porn offers, and he knew he had found a new calling as a hardcore performer. Now he’s at 239 titles with no end in sight, and he even has his own reality TV show in Europe called ""The Lucky Asian Guy” which follows his day-to-day life as he navigates his unique career. Dreams do come true, people!","['Nathan Sluts', 'PUBA', 'LTG Sex Movies']","{'Twitter': 'https://www.twitter.com/kenistyles', 'Instagram': 'https://www.instagram.com/kenistyles'}","{'Relationship status': 'Open', 'Interested in': 'Girls', 'City and Country': 'Bangkok, TH', 'Pornstar Profile Views': '2,124,128', 'Career Status': 'Active', 'Career Start and End': '2006                        to                        Present', 'Gender': 'Male', 'Birth Place': 'Lamphun, Thailand', 'Star Sign': 'Gemini', 'Measurements': '--', 'Height': '5 ft 9 in (175 cm)', 'Weight': '166 lbs (75 kg)', 'Ethnicity': 'Asian', 'Background': 'Thai', 'Hair Color': 'Black', 'Eye Color': 'Black', 'Foreskin': 'Uncut', 'Facial Hair': 'Yes', 'Tattoos': 'Yes', 'Piercings': 'No', 'Profile Views': '473,817', 'Videos Watched': '158'}",4766.0,4974.0,[4904],4684.0,13600
6,Lana Seymour,https://www.pornhub.com/pornstar/lana-seymour,4975,28,6700000,https://ei.phncdn.com/pics/users/389/686/522/avatar1508166471/(m=eQJ6GCjadOf)(mh=ml8L6qTW0CE56MpK)200x200.jpg,True,False,,"['Porn World', 'Fitness Rooms', '21 Sextreme']",NA,"{'Relationship status': 'Open', 'Interested in': 'Girls', 'City and Country': 'Kichinev, MD', 'Pornstar Profile Views': '346,318', 'Career Status': 'Active', 'Career Start and End': 'to                        Present', 'Gender': 'Couple', 'Birth Place': 'Russia', 'Star Sign': 'Libra', 'Measurements': '34C-25-36', 'Height': '5 ft 7 in (170 cm)', 'Weight': '112 lbs (51 kg)', 'Ethnicity': 'White', 'Hair Color': 'Brunette', 'Fake Boobs': 'No', 'Profile Views': '368,533', 'Videos Watched': '1'}",4807.0,4975.0,[4951],4674.0,4600
7,Kakey,https://www.pornhub.com/pornstar/kakey,4977,13,924000,https://ei.phncdn.com/pics/users/959/290/141/avatar1577826959/(m=eQJ6GCjadOf)(mh=E4Y3NI4_DDfmz7oM)200x200.jpg,True,False,"Hold on to your balls, gentlemen, because here comes jive-talking, hot-walking, and heavy-ass-bouncing Kakey to squeeze every drop of love-spunk right out of all of you. Kakey is an ebony honey with a body that’s booming and an ass so big that it practically has its own gravitational pull, to suck you right into it. When Kakey plants her hands on her knees and makes that rump bump ‘n’ rumble, you feel the ground shake through your WiFi. There’s nothing small about Kakey, from her loud personality, to her hunger for dick, and of course, her swollen heaving brown melons. Those milk-chocolaty jugs are so massive that her areolas are bigger than most girls’ tits! Kakey has one more secret weapon: the wide, fat tongue in her whorish mouth, which is perfect for lapping up all kinds of cock and pussy. The things she can do with her tongue, to even the tightest of pussies, can make some cocks jealous of its prodding skills. Her tongue is so long that it’s made it into some of the most unlikely of buttholes. For example, it was a bit of a scandal when Kakey claimed she was the first-class guest of one of Toronto’s favorite sons of Hip Hop who bided her to get nasty all up inside his junk. Along with her curvy sistas, Pinky and The Body, Kakey is a mega Ebony-booty sensation, whose suck shows and fuck fiestas are absolute nut gorgers.","['Sexy Ass Ladies', 'The Habib Show', 'Black Market XXX']",NA,"{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'Pennsylvania, US', 'Pornstar Profile Views': '1,455,103', 'Career Status': 'Active', 'Career Start and End': '2011                        to                        Present', 'Gender': 'Female', 'Birth Place': 'New York City, New York, United States of America', 'Measurements': '34DD-25-42', 'Height': '5 ft 1 in (155 cm)', 'Weight': '141 lbs (64 kg)', 'Ethnicity': 'Black', 'Hair Color': 'Blonde|Brunette', 'Fake Boobs': 'Yes', 'Tattoos': 'Yes', 'Piercings': 'Yes', 'Hometown': 'New York', 'Profile Views': '899,408'}",5115.0,4977.0,[4988],4371.0,15900
8,Aurora Fox,https://www.pornhub.com/pornstar/aurora-fox,4984,7,269000,https://ei.phncdn.com/pics/users/default/pornhub/(m=bJqDuhKlbyaT)(mh=b6JcwLiQSPBHfArM)male.jpg,True,False,"About Aurora Fox

                                    Chat with me on my modeling page! <3 www.onlyfans.com/aurora_foxxx","['Dungeon Corp', 'New Mylfs', 'Spank Monster']",{'Official Site': 'https://onlyfans.com/aurora_foxxx'},"{'Relationship status': 'Single', 'Interested in': 'Guys and Girls', 'City and Country': 'LA, US', 'Pornstar Profile Views': '33,070', 'Career Status': 'Active', 'Career Start and End': '2021                        to                        Present', 'Gender': 'Female', 'Measurements': '34D-24-31', 'Height': '5 ft 6 in (168 cm)', 'Weight': '121 lbs (55 kg)', 'Ethnicity': 'White', 'Background': 'Czech', 'Hair Color': 'Red', 'Eye Color': 'Green', 'Fake Boobs': 'No', 'Tattoos': 'Yes', 'Piercings': 'No', 'Hometown': 'LA', 'Profile Views': '33,083', 'Videos Watched': '1'}",7181.0,4984.0,[4993],6170.0,1100
9,Lana Lush,https://www.pornhub.com/pornstar/lana-lush,4991,14,3900000,https://ei.phncdn.com/(m=eQJ6GCjadOf)(mh=ziyKbERD7WH9IF8c)926b64e0-72ed-4c19-9c9e-797d7ef6e926.jpg,True,False,"About Lana Lush

                                    I’m a webcam model, erotic model and porn actress. For private contact subscribe on my f2f page! 	https://f2f.com/lanalush or https://onlyfans.com/lana_official",NA,"{'Twitter': 'https://www.twitter.com/Lanalush3', 'Instagram': 'https://www.instagram.com/Lanalushofficial'}","{'Relationship status': 'Taken', 'Interested in': 'Guys and Girls', 'Pornstar Profile Views': '524,920', 'Career Status': 'Active', 'Career Start and End': '2021                        to                        Present', 'Gender': 'Female', 'Measurements': 'B--', 'Height': '5 ft 2 in (157 cm)', 'Ethnicity': 'White', 'Hair Color': 'Brunette', 'Eye Color': 'Blue', 'Fake Boobs': 'No', 'Tattoos': 'Yes', 'Piercings': 'Yes', 'Interests and hobbies': 'Sex', 'Profile Views': '569,114', 'Videos Watched': '32'}",4979.0,4991.0,[5005],5112.0,5900
